Year,Artist,Popularity,Track ID,Genre
1954,Bud Powell,45,5Q2PlU3jI4z7dYWJvpW4x9,bebop
1954,Clifford Brown,50,2oMaXY0yiWhAEWD7SutXh2,hard bop
1954,Hank Williams,42,3BzfkAB5qE3BNiVsdA35nu,honky tonk
1954,Frank Sinatra,44,6rpDTKOEfOqJvU6zsccb5T,christmas
1954,Hank Williams,41,00prInR3FA2xwKCzUVhISD,honky tonk
1954,Kenny Drew,46,3AF40YsNhI8LfFnxKvcgGB,hard bop
1954,Thelonious Monk,47,2C3rh8eX5vltOmwrz9I78n,jazz
1954,Nat King Cole,45,01JYtQf53bne6dOGzrneNU,christmas
1954,Judy Garland,47,3wAIcORchxdSkWv6v5AkaU,christmas
1954,Cuco Sánchez,51,6CSrPDQF938mg8CaOT89xt,ranchera
1954,Duke Ellington,42,6saWIudnR49QPMGlSpt1g9,jazz
1954,Frank Sinatra,43,5Oa3dwYqt3Mz9MGWSkTV41,christmas
1954,Hank Williams,39,4lFqXzZiOXD60B2K9KZsV2,honky tonk
1954,Dean Martin,43,4LbhIS1d4kBg7lapZ61B4z,christmas
1954,The Chordettes,42,0fBZP1z5r7cbEm4cPFu6eD,doo-wop
1954,T-Bone Walker,45,7uMiAVsZy9Iash5gPsoTxe,blues
1954,Jackie Gleason,42,78N4D2m9rt9sYmniEr6RIm,easy listening
1954,The Modern Jazz Quartet,46,4vWMrM0AwlhRlkAdQtC2zn,cool jazz
1954,June Christy,46,2mqjKGlSdJHdjCQHtOx6PD,vocal jazz
1954,Sophia Loren,41,1YoZpsyAoZukWIQn1u6WFb,
1954,Hank Williams,38,6SntDyLZtmGZylgEXlJy6T,honky tonk
1954,Sarah Vaughan,39,5Po3D0fxlUpQTciXYWOmnJ,vocal jazz
1954,Giacomo Puccini,47,78k57V2uo6Sm72j1H7Ih14,opera
1954,Cuco Sánchez,48,4zbXcjtqBCRpVW2XvqUBVD,ranchera
1954,Bing Crosby,34,1une3rqT2R9tsTOZWwzIrZ,christmas
1954,Duke Ellington,40,484SnsU9yGBsaHh9byM0AU,jazz
1954,Billy May,38,6TsE30wjcOmuQRheHdtaAF,big band
1954,Hank Williams,35,7x1hBAGI8crD2g4KuXKNCo,honky tonk
1954,Cuco Sánchez,47,6AL5LBZf5MA7cjZvm40fpg,ranchera
1954,Tal Farlow,39,0u6aKOP3y89hzoRqwMwjav,bebop
1955,Tennessee Ernie Ford,63,4KM77RUl2IKdXGhtOBbKIS,christian country
1955,Julie London,63,6crfO56bDm0RjpctUuGs5X,vocal jazz
1955,Bill Haley & His Comets,66,1uRKT2LRANv4baowBWHfDS,rockabilly
1955,Julie London,62,7f6AAixCrVar1ZY7RPHDfM,vocal jazz
1955,Frank Sinatra,59,0Hsc0sIaxOxXBZbT3ms2oj,christmas
1955,Dean Martin,64,64MgjDp6ijaLvS3T83JHX9,christmas
